supplier_gstin,supplier_name,invoice_no,invoice_date,taxable_value,tax_amount,filing_status
36ZZ1017A1Z9,Pioneer Plastics,SI017/2276,2024-10-13,162213.00,29198.34,Filed
07ZZ1015A1Z5,Noble Printing Press,SI015/2277,2024-05-16,142953.00,25731.54,Filed
29ZZ1007A1Z9,Ganga Traders,SI007/2278,2025-03-15,212774.00,38299.32,Filed
07ZZ1015A1Z5,Noble Printing Press,SI015/2279,2024-08-23,89764.00,16157.52,Filed
27ZZ1036A1Z2,Imperial Paints,SI036/2280,2024-05-14,202113.00,36380.34,Filed
33ZZ1026A1Z2,Yamuna Enterprises,SI026/2281,2024-06-11,93572.00,16842.96,Filed
24ZZ1004A1Z8,Deccan Logistics,SI004/2282,2025-02-03,7362.00,1325.16,Filed
33ZZ1020A1Z0,Sunrise Solvents,SI020/2283,2025-02-06,203814.00,36686.52,Filed
07ZZ1021A1Z7,Trident Tools Ltd,SI021/2284,2024-12-27,220447.00,39680.46,Filed
33ZZ1008A1Z6,Himalaya Papers,SI008/2285,2024-12-28,138642.00,24955.56,Filed
33ZZ1008A1Z6,Himalaya Papers,SI008/2286,2025-01-24,13086.00,2355.48,Filed
36ZZ1041A1Z7,National Weighbridge,SI041/2287,2025-01-29,167402.00,30132.36,Filed
29ZZ1013A1Z1,Madras Hardware Mart,SI013/2288,2024-10-29,29381.00,5288.58,Filed
27ZZ1042A1Z4,Orient Glass House,SI042/2289,2024-09-23,85458.00,15382.44,Filed
07ZZ1033A1Z1,Falcon Security Services,SI033/2290,2024-07-07,58171.00,10470.78,Filed
36ZZ1035A1Z5,Hitech Instruments,SI035/2291,2024-04-06,147349.00,26522.82,Filed
29ZZ1007A1Z9,Ganga Traders,SI007/2292,2024-04-04,3630.00,653.40,Filed
27ZZ1024A1Z8,Western Freight Lines,SI024/2293,2025-01-28,165584.00,29805.12,Filed
24ZZ1016A1Z2,Omkar Engineering,SI016/2294,2024-12-03,72332.00,13019.76,Filed
36ZZ1023A1Z1,Venus Adhesives,SI023/2295,2025-03-11,122467.00,22044.06,Filed
33ZZ1008A1Z6,Himalaya Papers,SI008/2296,2025-01-20,118589.00,21346.02,Filed
07ZZ1015A1Z5,Noble Printing Press,SI015/2297,2024-09-10,83661.00,15058.98,Filed
27ZZ1012A1Z4,Lakshmi Industrial Stores,SI012/2298,2024-09-21,143184.00,25773.12,Filed
27ZZ1012A1Z4,Lakshmi Industrial Stores,SI012/2299,2024-09-21,205314.00,36956.52,Filed
07ZZ1021A1Z7,Trident Tools Ltd,TT/2287,2024-10-07,187450.00,33741.00,Filed
27ZZ1006A1Z2,Fortune Chemicals,FC/5512,2025-01-02,340000.00,61200.00,Filed
29ZZ1007A1Z9,Ganga Traders,GT/8801,2024-07-19,96500.00,17370.00,Filed
27ZZ1036A1Z2,Imperial Paints,IP/3302,2024-11-28,210300.00,37854.00,Filed
24ZZ1040A1Z0,Mount Cables,MC/1190,2025-02-05,54100.00,9738.00,Filed
