date,narration,reference,debit,credit,balance
2024-11-01,NEFT DR NEFT5058 PIONEER PLASTICS,NEFT5058,71884.42,,22892113.28
2024-11-01,NEFT DR NEFT5110 PRAKASH MACHINERY,NEFT5110,79414.00,,22812699.28
2024-11-01,NEFT DR NEFT5163 LAKSHMI INDUSTRIAL,NEFT5163,126681.26,,22686018.02
2024-11-02,UPI/NEFT CR UTR5421 CUSTOMER 010 RETAI,UTR5421,,345843.84,23031861.86
2024-11-03,UPI/NEFT CR UTR5281 CUSTOMER 002 RETAI,UTR5281,,65799.16,23097661.02
2024-11-06,NEFT DR NEFT5181 PIONEER PLASTICS,NEFT5181,191411.34,,22906249.68
2024-11-07,UPI/NEFT CR UTR5291 CUSTOMER 007 RETAI,UTR5291,,180528.20,23086777.88
2024-11-08,UPI/NEFT CR UTR5385 CUSTOMER 001 RETAI,UTR5385,,247409.42,23334187.30
2024-11-09,UPI/NEFT CR UTR5338 CUSTOMER 023 RETAI,UTR5338,,227649.14,23561836.44
2024-11-09,UPI/NEFT CR UTR5390 CUSTOMER 029 RETAI,UTR5390,,212722.14,23774558.58
2024-11-10,NEFT DR NEFT5037 SILVERLINE PIPES,NEFT5037,24205.34,,23750353.24
2024-11-10,UPI/NEFT CR UTR5290 CUSTOMER 006 RETAI,UTR5290,,272319.22,24022672.46
2024-11-10,UPI/NEFT CR UTR5310 CUSTOMER 003 RETAI,UTR5310,,234702.00,24257374.46
2024-11-10,UPI/NEFT CR UTR5337 CUSTOMER 011 RETAI,UTR5337,,129010.58,24386385.04
2024-11-10,UPI/NEFT CR UTR5388 CUSTOMER 025 RETAI,UTR5388,,340837.10,24727222.14
2024-11-11,UPI/NEFT CR UTR5218 CUSTOMER 024 RETAI,UTR5218,,254778.52,24982000.66
2024-11-12,NEFT DR NEFT5062 UNIVERSAL BEARINGS,NEFT5062,169858.64,,24812142.02
2024-11-12,NEFT DR NEFT5118 FALCON SECURITY SE,NEFT5118,128065.40,,24684076.62
2024-11-13,UPI/NEFT CR UTR5293 CUSTOMER 010 RETAI,UTR5293,,404331.72,25088408.34
2024-11-14,UPI/NEFT CR UTR5412 CUSTOMER 028 RETAI,UTR5412,,147505.90,25235914.24
2024-11-15,UPI/NEFT CR UTR5359 CUSTOMER 004 RETAI,UTR5359,,432108.92,25668023.16
2024-11-17,NEFT DR NEFT5088 UNIVERSAL BEARINGS,NEFT5088,210389.28,,25457633.88
2024-11-17,UPI/NEFT CR UTR5250 CUSTOMER 020 RETAI,UTR5250,,416151.78,25873785.66
2024-11-17,UPI/NEFT CR UTR5410 CUSTOMER 009 RETAI,UTR5410,,27342.96,25901128.62
2024-11-18,UPI/NEFT CR UTR5306 CUSTOMER 001 RETAI,UTR5306,,42134.26,25943262.88
2024-11-19,UPI/NEFT CR UTR5333 CUSTOMER 011 RETAI,UTR5333,,327660.04,26270922.92
2024-11-20,NEFT DR NEFT5045 QUALITY FASTENERS,NEFT5045,23464.30,,26247458.62
2024-11-20,UPI/NEFT CR UTR5224 CUSTOMER 014 RETAI,UTR5224,,144571.24,26392029.86
2024-11-20,UPI/NEFT CR UTR5253 CUSTOMER 025 RETAI,UTR5253,,410491.32,26802521.18
2024-11-21,UPI/NEFT CR UTR5248 CUSTOMER 019 RETAI,UTR5248,,392603.70,27195124.88
2024-11-21,UPI/NEFT CR UTR5309 CUSTOMER 012 RETAI,UTR5309,,226646.14,27421771.02
2024-11-21,UPI/NEFT CR UTR5313 CUSTOMER 013 RETAI,UTR5313,,323808.52,27745579.54
2024-11-21,UPI/NEFT CR UTR5394 CUSTOMER 002 RETAI,UTR5394,,305275.44,28050854.98
2024-11-23,NEFT DR NEFT5114 ROYAL STATIONERS,NEFT5114,158360.72,,27892494.26
2024-11-23,NEFT DR NEFT5178 OMKAR ENGINEERING,NEFT5178,244374.46,,27648119.80
2024-11-24,NEFT DR NEFT5004 OMKAR ENGINEERING,NEFT5004,220514.86,,27427604.94
2024-11-24,NEFT DR NEFT5013 UNIVERSAL BEARINGS,NEFT5013,103792.80,,27323812.14
2024-11-24,NEFT DR NEFT5151 FALCON SECURITY SE,NEFT5151,12995.34,,27310816.80
2024-11-24,NEFT DR NEFT5165 SUNRISE SOLVENTS,NEFT5165,249289.16,,27061527.64
2024-11-24,UPI/NEFT CR UTR5213 CUSTOMER 015 RETAI,UTR5213,,402175.86,27463703.50
2024-11-24,UPI/NEFT CR UTR5262 CUSTOMER 027 RETAI,UTR5262,,266963.20,27730666.70
2024-11-24,UPI/NEFT CR UTR5336 CUSTOMER 019 RETAI,UTR5336,,67524.32,27798191.02
2024-11-24,UPI/NEFT CR UTR5450 CUSTOMER 001 RETAI,UTR5450,,331063.16,28129254.18
2024-11-25,NEFT DR NEFT5155 OMKAR ENGINEERING,NEFT5155,111072.22,,28018181.96
2024-11-26,UPI/NEFT CR UTR5459 CUSTOMER 012 RETAI,UTR5459,,324466.96,28342648.92
2024-11-27,NEFT DR NEFT5044 JYOTI ELECTRODES,NEFT5044,63520.58,,28279128.34
2024-11-27,UPI/NEFT CR UTR5204 CUSTOMER 008 RETAI,UTR5204,,141515.04,28420643.38
2024-11-27,UPI/NEFT CR UTR5446 CUSTOMER 005 RETAI,UTR5446,,76849.86,28497493.24
2024-11-29,NEFT DR NEFT5011 CRESCENT CERAMICS,NEFT5011,86036.16,,28411457.08
2024-11-30,NEFT DR NEFT5123 YAMUNA ENTERPRISES,NEFT5123,233499.58,,28177957.50
2024-11-30,UPI/NEFT CR UTR5212 CUSTOMER 010 RETAI,UTR5212,,436928.04,28614885.54
2024-12-01,NEFT DR NEFT5180 QUALITY FASTENERS,NEFT5180,57925.02,,28556960.52
2024-12-01,UPI/NEFT CR UTR5223 CUSTOMER 028 RETAI,UTR5223,,284306.84,28841267.36
2024-12-01,UPI/NEFT CR UTR5339 CUSTOMER 014 RETAI,UTR5339,,245659.48,29086926.84
2024-12-02,NEFT DR NEFT5099 XPRESS COURIERS,NEFT5099,141300.28,,28945626.56
2024-12-03,NEFT DR NEFT5065 XPRESS COURIERS,NEFT5065,207249.30,,28738377.26
2024-12-03,NEFT DR NEFT5108 EASTERN ELECTRICAL,NEFT5108,187197.56,,28551179.70
2024-12-03,UPI/NEFT CR UTR5209 CUSTOMER 009 RETAI,UTR5209,,155472.08,28706651.78
2024-12-05,NEFT DR NEFT5125 SILVERLINE PIPES,NEFT5125,181714.10,,28524937.68
2024-12-07,UPI/NEFT CR UTR5272 CUSTOMER 007 RETAI,UTR5272,,98938.28,28623875.96
2024-12-07,UPI/NEFT CR UTR5443 CUSTOMER 018 RETAI,UTR5443,,388081.94,29011957.90
2024-12-09,NEFT DR NEFT5060 VENUS ADHESIVES,NEFT5060,149418.68,,28862539.22
2024-12-10,NEFT DR NEFT5120 SILVERLINE PIPES,NEFT5120,141039.50,,28721499.72
2024-12-10,NEFT DR NEFT5147 GREEN VALLEY AGRO,NEFT5147,81680.78,,28639818.94
2024-12-11,NEFT DR NEFT5157 IMPERIAL PAINTS,NEFT5157,62079.80,,28577739.14
2024-12-11,NEFT DR NEFT5176 CHENNAI POLYMERS P,NEFT5176,20111.92,,28557627.22
2024-12-12,NEFT DR NEFT5006 BALAJI PACKAGING C,NEFT5006,222381.62,,28335245.60
2024-12-13,NEFT DR NEFT5136 TRIDENT TOOLS LTD,NEFT5136,94463.72,,28240781.88
2024-12-13,UPI/NEFT CR UTR5401 CUSTOMER 025 RETAI,UTR5401,,195553.14,28436335.02
2024-12-14,UPI/NEFT CR UTR5273 CUSTOMER 018 RETAI,UTR5273,,91892.50,28528227.52
2024-12-17,UPI/NEFT CR UTR5402 CUSTOMER 001 RETAI,UTR5402,,261740.52,28789968.04
2024-12-19,NEFT DR NEFT5158 TRIDENT TOOLS LTD,NEFT5158,185694.24,,28604273.80
2024-12-19,UPI/NEFT CR UTR5298 CUSTOMER 019 RETAI,UTR5298,,431410.36,29035684.16
2024-12-21,NEFT DR NEFT5174 XPRESS COURIERS,NEFT5174,282445.98,,28753238.18
2024-12-21,UPI/NEFT CR UTR5229 CUSTOMER 030 RETAI,UTR5229,,10017.02,28763255.20
2024-12-21,UPI/NEFT CR UTR5239 CUSTOMER 009 RETAI,UTR5239,,117238.90,28880494.10
2024-12-21,UPI/NEFT CR UTR5409 CUSTOMER 026 RETAI,UTR5409,,232926.10,29113420.20
2024-12-23,UPI/NEFT CR UTR5219 CUSTOMER 002 RETAI,UTR5219,,53779.68,29167199.88
2024-12-25,NEFT DR NEFT5172 GREEN VALLEY AGRO,NEFT5172,98886.36,,29068313.52
2024-12-26,NEFT DR NEFT5115 FORTUNE CHEMICALS,NEFT5115,274091.58,,28794221.94
2024-12-29,UPI/NEFT CR UTR5197 CUSTOMER 020 RETAI,UTR5197,,299620.88,29093842.82
2024-12-29,UPI/NEFT CR UTR5386 CUSTOMER 014 RETAI,UTR5386,,64748.96,29158591.78
2024-12-30,UPI/NEFT CR UTR5207 CUSTOMER 018 RETAI,UTR5207,,355263.78,29513855.56
2024-12-31,BANK CHARGES QTR3,CHG20241231,2596.00,,29511259.56
2024-12-31,NEFT DR NEFT5031 IMPERIAL PAINTS,NEFT5031,252361.88,,29258897.68
2024-12-31,UPI/NEFT CR UTR5370 CUSTOMER 022 RETAI,UTR5370,,63743.60,29322641.28
2025-01-02,UPI/NEFT CR UTR5196 CUSTOMER 002 RETAI,UTR5196,,343907.46,29666548.74
2025-01-03,UPI/NEFT CR UTR5366 CUSTOMER 010 RETAI,UTR5366,,131535.78,29798084.52
2025-01-03,UPI/NEFT CR UTR5374 CUSTOMER 004 RETAI,UTR5374,,19923.12,29818007.64
2025-01-04,NEFT DR NEFT5016 JYOTI ELECTRODES,NEFT5016,81257.16,,29736750.48
2025-01-04,NEFT DR NEFT5091 XPRESS COURIERS,NEFT5091,150497.20,,29586253.28
2025-01-05,UPI/NEFT CR UTR5349 CUSTOMER 003 RETAI,UTR5349,,408288.26,29994541.54
2025-01-06,UPI/NEFT CR UTR5345 CUSTOMER 007 RETAI,UTR5345,,57730.32,30052271.86
2025-01-08,UPI/NEFT CR UTR5284 CUSTOMER 023 RETAI,UTR5284,,411903.78,30464175.64
2025-01-09,NEFT DR NEFT5465 FORTUNE CHEMICALS,NEFT5465,401200.00,,30062975.64
2025-01-09,UPI/NEFT CR UTR5382 CUSTOMER 015 RETAI,UTR5382,,110373.66,30173349.30
2025-01-10,NEFT DR NEFT5193 OMKAR ENGINEERING,NEFT5193,85351.76,,30087997.54
2025-01-12,NEFT DR NEFT5080 SUNRISE SOLVENTS,NEFT5080,33560.38,,30054437.16
2025-01-12,UPI/NEFT CR UTR5356 CUSTOMER 018 RETAI,UTR5356,,4548.90,30058986.06
2025-01-12,UPI/NEFT CR UTR5397 CUSTOMER 030 RETAI,UTR5397,,261064.38,30320050.44
2025-01-13,UPI/NEFT CR UTR5263 CUSTOMER 026 RETAI,UTR5263,,32576.26,30352626.70
2025-01-15,NEFT CR CONSOLIDATED COLLECTION AGENT,AGG300K,,300000.00,30652626.70
2025-01-16,NEFT DR NEFT5047 ANAND AUTO PARTS,NEFT5047,245919.08,,30406707.62
2025-01-16,UPI/NEFT CR UTR5234 CUSTOMER 002 RETAI,UTR5234,,210280.72,30616988.34
2025-01-17,NEFT DR NEFT5046 AGARWAL STEEL SUPP,NEFT5046,212889.70,,30404098.64
2025-01-18,NEFT DR NEFT5187 HIMALAYA PAPERS,NEFT5187,163597.56,,30240501.08
2025-01-18,UPI/NEFT CR UTR5332 CUSTOMER 024 RETAI,UTR5332,,247182.86,30487683.94
2025-01-19,NEFT DR NEFT5087 GANGA TRADERS,NEFT5087,185058.22,,30302625.72
2025-01-20,NEFT DR NEFT5122 UNIVERSAL BEARINGS,NEFT5122,30820.42,,30271805.30
2025-01-20,UPI/NEFT CR UTR5328 CUSTOMER 030 RETAI,UTR5328,,191384.20,30463189.50
2025-01-21,UPI/NEFT CR UTR5203 CUSTOMER 006 RETAI,UTR5203,,377256.62,30840446.12
2025-01-21,UPI/NEFT CR UTR5323 CUSTOMER 010 RETAI,UTR5323,,125336.06,30965782.18
2025-01-22,NEFT DR NEFT5078 ZENITH ABRASIVES,NEFT5078,164849.54,,30800932.64
2025-01-22,NEFT DR NEFT5081 KRISHNA CEMENT AGE,NEFT5081,12677.92,,30788254.72
2025-01-22,UPI/NEFT CR UTR5199 CUSTOMER 027 RETAI,UTR5199,,161973.88,30950228.60
2025-01-22,UPI/NEFT CR UTR5270 CUSTOMER 003 RETAI,UTR5270,,87239.76,31037468.36
2025-01-23,UPI/NEFT CR UTR5396 CUSTOMER 025 RETAI,UTR5396,,443242.22,31480710.58
2025-01-24,NEFT DR NEFT5175 XPRESS COURIERS,NEFT5175,34784.04,,31445926.54
2025-01-24,NEFT DR NEFT5186 TRIDENT TOOLS LTD,NEFT5186,260127.46,,31185799.08
2025-01-24,UPI/NEFT CR UTR5406 CUSTOMER 003 RETAI,UTR5406,,45408.76,31231207.84
2025-01-24,UPI/NEFT CR UTR5432 CUSTOMER 030 RETAI,UTR5432,,348056.34,31579264.18
2025-01-26,NEFT DR NEFT5017 ANAND AUTO PARTS,NEFT5017,143263.80,,31436000.38
2025-01-26,NEFT DR NEFT5026 EVEREST SCAFFOLDIN,NEFT5026,87544.20,,31348456.18
2025-01-26,NEFT DR NEFT5144 DECCAN LOGISTICS,NEFT5144,188838.94,,31159617.24
2025-01-26,UPI/NEFT CR UTR5243 CUSTOMER 011 RETAI,UTR5243,,300796.16,31460413.40
2025-01-26,UPI/NEFT CR UTR5405 CUSTOMER 022 RETAI,UTR5405,,448460.18,31908873.58
2025-01-28,NEFT DR NEFT5041 MADRAS HARDWARE MA,NEFT5041,97824.36,,31811049.22
2025-01-28,UPI/NEFT CR UTR5320 CUSTOMER 023 RETAI,UTR5320,,420261.72,32231310.94
2025-01-28,UPI/NEFT CR UTR5371 CUSTOMER 009 RETAI,UTR5371,,249487.40,32480798.34
2025-01-29,NEFT DR NEFT5111 INDUS METAL WORKS,NEFT5111,256487.16,,32224311.18
2025-01-30,UPI/NEFT CR UTR5326 CUSTOMER 013 RETAI,UTR5326,,8368.56,32232679.74
2025-02-01,NEFT DR NEFT5066 DIVYA SAFETY EQUIP,NEFT5066,182104.68,,32050575.06
2025-02-01,UPI/NEFT CR UTR5211 CUSTOMER 005 RETAI,UTR5211,,104306.10,32154881.16
2025-02-01,UPI/NEFT CR UTR5285 CUSTOMER 002 RETAI,UTR5285,,325026.28,32479907.44
2025-02-02,UPI/NEFT CR UTR5350 CUSTOMER 029 RETAI,UTR5350,,104597.56,32584505.00
2025-02-03,UPI/NEFT CR UTR5311 CUSTOMER 014 RETAI,UTR5311,,300700.58,32885205.58
2025-02-04,UPI/NEFT CR UTR5254 CUSTOMER 014 RETAI,UTR5254,,352456.56,33237662.14
2025-02-04,UPI/NEFT CR UTR5403 CUSTOMER 018 RETAI,UTR5403,,305284.88,33542947.02
2025-02-04,UPI/NEFT CR UTR5458 CUSTOMER 030 RETAI,UTR5458,,18880.00,33561827.02
2025-02-06,UPI/NEFT CR UTR5444 CUSTOMER 022 RETAI,UTR5444,,236059.00,33797886.02
2025-02-07,UPI/NEFT CR UTR5227 CUSTOMER 016 RETAI,UTR5227,,39777.80,33837663.82
2025-02-08,NEFT DR NEFT5040 ORIENT GLASS HOUSE,NEFT5040,63316.44,,33774347.38
2025-02-10,UPI/NEFT CR UTR5437 CUSTOMER 009 RETAI,UTR5437,,147872.88,33922220.26
2025-02-10,UPI/NEFT CR UTR5440 CUSTOMER 022 RETAI,UTR5440,,421749.70,34343969.96
2025-02-11,UPI/NEFT CR UTR5302 CUSTOMER 023 RETAI,UTR5302,,395770.82,34739740.78
2025-02-11,UPI/NEFT CR UTR5413 CUSTOMER 004 RETAI,UTR5413,,195062.26,34934803.04
2025-02-12,UPI/NEFT CR UTR5427 CUSTOMER 020 RETAI,UTR5427,,169116.42,35103919.46
2025-02-14,NEFT DR NEFT5185 SUNRISE SOLVENTS,NEFT5185,240500.52,,34863418.94
2025-02-14,NEFT DR NEFT5194 HIMALAYA PAPERS,NEFT5194,139935.02,,34723483.92
2025-02-15,NEFT DR NEFT5142 ORIENT GLASS HOUSE,NEFT5142,85715.20,,34637768.72
2025-02-15,NEFT DR NEFT5164 JYOTI ELECTRODES,NEFT5164,164165.14,,34473603.58
2025-02-16,UPI/NEFT CR UTR5317 CUSTOMER 002 RETAI,UTR5317,,411648.90,34885252.48
2025-02-17,UPI/NEFT CR UTR5453 CUSTOMER 022 RETAI,UTR5453,,191060.88,35076313.36
2025-02-18,NEFT DR NEFT5095 CRESCENT CERAMICS,NEFT5095,237471.46,,34838841.90
2025-02-18,NEFT DR NEFT5464 SHRI RAM TRADERS,NEFT5464,542800.00,,34296041.90
2025-02-18,UPI/NEFT CR UTR5257 CUSTOMER 006 RETAI,UTR5257,,149118.96,34445160.86
2025-02-19,UPI/NEFT CR UTR5245 CUSTOMER 021 RETAI,UTR5245,,23340.40,34468501.26
2025-02-19,UPI/NEFT CR UTR5361 CUSTOMER 005 RETAI,UTR5361,,367295.06,34835796.32
2025-02-20,UPI/NEFT CR UTR5355 CUSTOMER 013 RETAI,UTR5355,,160534.28,34996330.60
2025-02-21,NEFT DR NEFT5052 QUALITY FASTENERS,NEFT5052,68987.52,,34927343.08
2025-02-21,NEFT DR NEFT5192 WESTERN FREIGHT LI,NEFT5192,195389.12,,34731953.96
2025-02-21,UPI/NEFT CR UTR5258 CUSTOMER 017 RETAI,UTR5258,,408086.48,35140040.44
2025-02-22,NEFT DR NEFT5018 ROYAL STATIONERS,NEFT5018,173541.42,,34966499.02
2025-02-22,UPI/NEFT CR UTR5389 CUSTOMER 024 RETAI,UTR5389,,393231.46,35359730.48
2025-02-24,UPI/NEFT CR UTR5280 CUSTOMER 025 RETAI,UTR5280,,157315.24,35517045.72
2025-02-24,UPI/NEFT CR UTR5300 CUSTOMER 016 RETAI,UTR5300,,140593.46,35657639.18
2025-02-25,NEFT DR NEFT5023 UNIVERSAL BEARINGS,NEFT5023,157361.26,,35500277.92
2025-02-25,NEFT DR NEFT5188 HIMALAYA PAPERS,NEFT5188,15441.48,,35484836.44
2025-02-25,UPI/NEFT CR UTR5282 CUSTOMER 025 RETAI,UTR5282,,374390.40,35859226.84
2025-02-26,UPI/NEFT CR UTR5449 CUSTOMER 028 RETAI,UTR5449,,74833.24,35934060.08
2025-02-27,NEFT DR NEFT5003 SHREE RAM TRADERS,NEFT5003,114399.82,,35819660.26
2025-02-27,UPI/NEFT CR UTR5334 CUSTOMER 002 RETAI,UTR5334,,164128.56,35983788.82
2025-03-01,NEFT DR NEFT5049 GANGA TRADERS,NEFT5049,45346.22,,35938442.60
2025-03-01,UPI/NEFT CR UTR5221 CUSTOMER 018 RETAI,UTR5221,,76777.88,36015220.48
2025-03-01,UPI/NEFT CR UTR5327 CUSTOMER 026 RETAI,UTR5327,,342967.00,36358187.48
2025-03-01,UPI/NEFT CR UTR5391 CUSTOMER 006 RETAI,UTR5391,,361462.32,36719649.80
2025-03-03,NEFT DR NEFT5071 YAMUNA ENTERPRISES,NEFT5071,70661.94,,36648987.86
2025-03-03,UPI/NEFT CR UTR5240 CUSTOMER 006 RETAI,UTR5240,,364068.94,37013056.80
2025-03-03,UPI/NEFT CR UTR5460 CUSTOMER 023 RETAI,UTR5460,,28653.94,37041710.74
2025-03-05,UPI/NEFT CR UTR5407 CUSTOMER 013 RETAI,UTR5407,,179245.54,37220956.28
2025-03-06,NEFT DR NEFT5075 OMKAR ENGINEERING,NEFT5075,139252.98,,37081703.30
2025-03-07,UPI/NEFT CR UTR5312 CUSTOMER 013 RETAI,UTR5312,,278681.78,37360385.08
2025-03-07,UPI/NEFT CR UTR5324 CUSTOMER 025 RETAI,UTR5324,,384970.28,37745355.36
2025-03-08,UPI/NEFT CR UTR5235 CUSTOMER 013 RETAI,UTR5235,,197355.00,37942710.36
2025-03-09,NEFT DR NEFT5162 ORIENT GLASS HOUSE,NEFT5162,239643.84,,37703066.52
2025-03-09,UPI/NEFT CR UTR5269 CUSTOMER 028 RETAI,UTR5269,,78211.58,37781278.10
2025-03-10,UPI/NEFT CR UTR5265 CUSTOMER 015 RETAI,UTR5265,,115383.94,37896662.04
2025-03-11,UPI/NEFT CR UTR5279 CUSTOMER 006 RETAI,UTR5279,,434465.38,38331127.42
2025-03-12,UPI/NEFT CR UTR5295 CUSTOMER 018 RETAI,UTR5295,,104271.88,38435399.30
2025-03-12,UPI/NEFT CR UTR5352 CUSTOMER 026 RETAI,UTR5352,,310148.84,38745548.14
2025-03-14,NEFT DR NEFT5102 KAVERI TRANSPORT C,NEFT5102,244327.26,,38501220.88
2025-03-14,NEFT DR NEFT5184 DECCAN LOGISTICS,NEFT5184,8687.16,,38492533.72
2025-03-16,NEFT DR NEFT5098 ZENITH ABRASIVES,NEFT5098,118794.14,,38373739.58
2025-03-17,NEFT DR NEFT5022 SILVERLINE PIPES,NEFT5022,217154.22,,38156585.36
2025-03-17,UPI/NEFT CR UTR5381 CUSTOMER 004 RETAI,UTR5381,,290652.88,38447238.24
2025-03-18,NEFT DR NEFT5101 HIMALAYA PAPERS,NEFT5101,265620.36,,38181617.88
2025-03-19,NEFT DR NEFT5129 TRIDENT TOOLS LTD,NEFT5129,135086.40,,38046531.48
2025-03-19,UPI/NEFT CR UTR5242 CUSTOMER 029 RETAI,UTR5242,,146268.08,38192799.56
2025-03-19,UPI/NEFT CR UTR5297 CUSTOMER 025 RETAI,UTR5297,,263571.88,38456371.44
2025-03-21,NEFT DR NEFT5061 MOUNT CABLES,NEFT5061,266677.64,,38189693.80
2025-03-24,UPI/NEFT CR UTR5252 CUSTOMER 013 RETAI,UTR5252,,3562.42,38193256.22
2025-03-26,UPI/NEFT CR UTR5244 CUSTOMER 009 RETAI,UTR5244,,259033.60,38452289.82
2025-03-26,UPI/NEFT CR UTR5255 CUSTOMER 022 RETAI,UTR5255,,341403.50,38793693.32
2025-03-26,UPI/NEFT CR UTR5435 CUSTOMER 007 RETAI,UTR5435,,44943.84,38838637.16
2025-03-28,NEFT DR NEFT5094 ORIENT GLASS HOUSE,NEFT5094,198092.50,,38640544.66
2025-03-28,UPI/NEFT CR UTR5274 CUSTOMER 005 RETAI,UTR5274,,53251.04,38693795.70
2025-03-28,UPI/NEFT CR UTR5378 CUSTOMER 008 RETAI,UTR5378,,98790.78,38792586.48
2025-03-28,UPI/NEFT CR UTR5445 CUSTOMER 023 RETAI,UTR5445,,23694.40,38816280.88
2025-03-30,UPI/NEFT CR UTR5288 CUSTOMER 006 RETAI,UTR5288,,328126.14,39144407.02
2025-03-30,UPI/NEFT CR UTR5424 CUSTOMER 023 RETAI,UTR5424,,12687.36,39157094.38
2025-03-31,BANK CHARGES QTR4,CHG20250331,2714.00,,39154380.38
2025-03-31,UPI/NEFT CR UTR5393 CUSTOMER 025 RETAI,UTR5393,,148098.26,39302478.64
2025-03-31,UPI/NEFT CR UTR5447 CUSTOMER 028 RETAI,UTR5447,,257420.54,39559899.18
2025-04-01,NEFT DR NEFT5073 HIMALAYA PAPERS,NEFT5073,127273.62,,39432625.56
