invoice_no,invoice_date,vendor_id,vendor_name,gstin,taxable_value,tax_amount,total,voucher_id
SI038/2221,2024-04-13,V-038,Krishna Cement Agency,33ZZ1038A1Z6,42421.00,7635.78,50056.78,PUR-00222
SI004/2222,2024-12-29,V-004,Deccan Logistics,24ZZ1004A1Z8,160033.00,28805.94,188838.94,PUR-00223
SI033/2223,2024-05-10,V-033,Falcon Security Services,07ZZ1033A1Z1,165670.00,29820.60,195490.60,PUR-00224
SI017/2224,2024-07-20,V-017,Pioneer Plastics,36ZZ1017A1Z9,125911.00,22663.98,148574.98,PUR-00225
SI033/2225,2025-03-23,V-033,Falcon Security Services,07ZZ1033A1Z1,39006.00,7021.08,46027.08,PUR-00226
SI034/2226,2024-11-03,V-034,Green Valley Agro,24ZZ1034A1Z8,69221.00,12459.78,81680.78,PUR-00227
SI027/2227,2024-04-18,V-027,Zenith Abrasives,07ZZ1027A1Z9,181824.00,32728.32,214552.32,PUR-00228
SI030/2228,2024-09-01,V-030,Crescent Ceramics,27ZZ1030A1Z0,51832.00,9329.76,61161.76,PUR-00229
SI039/2229,2024-07-10,V-039,Liberty Rubber Works,07ZZ1039A1Z3,114179.00,20552.22,134731.22,PUR-00230
SI035/2230,2024-09-11,V-035,Hitech Instruments,36ZZ1035A1Z5,211305.00,38034.90,249339.90,PUR-00231
SI042/2231,2024-04-17,V-042,Orient Glass House,27ZZ1042A1Z4,56145.00,10106.10,66251.10,PUR-00232
SI033/2232,2024-06-23,V-033,Falcon Security Services,07ZZ1033A1Z1,137727.00,24790.86,162517.86,PUR-00233
SI033/2233,2024-10-30,V-033,Falcon Security Services,07ZZ1033A1Z1,11013.00,1982.34,12995.34,PUR-00234
SI038/2234,2024-08-21,V-038,Krishna Cement Agency,33ZZ1038A1Z6,62011.00,11161.98,73172.98,PUR-00235
SI030/2235,2024-04-15,V-030,Crescent Ceramics,27ZZ1030A1Z0,163190.00,29374.20,192564.20,PUR-00236
SI022/2236,2024-08-26,V-022,Universal Bearings,24ZZ1022A1Z4,222520.00,40053.60,262573.60,PUR-00237
SI015/2237,2025-02-10,V-015,Noble Printing Press,07ZZ1015A1Z5,30668.00,5520.24,36188.24,PUR-00238
SI029/2238,2025-03-11,V-029,Bharat Lubricants,36ZZ1029A1Z3,114291.00,20572.38,134863.38,PUR-00239
SI023/2239,2025-03-10,V-023,Venus Adhesives,36ZZ1023A1Z1,55283.00,9950.94,65233.94,PUR-00240
SI016/2240,2024-10-27,V-016,Omkar Engineering,24ZZ1016A1Z2,94129.00,16943.22,111072.22,PUR-00241
SI031/2241,2024-04-07,V-031,Divya Safety Equipments,29ZZ1031A1Z7,179176.00,32251.68,211427.68,PUR-00242
SI036/2242,2024-11-10,V-036,Imperial Paints,27ZZ1036A1Z2,52610.00,9469.80,62079.80,PUR-00243
SI021/2243,2024-12-02,V-021,Trident Tools Ltd,07ZZ1021A1Z7,157368.00,28326.24,185694.24,PUR-00244
SI023/2244,2024-05-16,V-023,Venus Adhesives,36ZZ1023A1Z1,3695.00,665.10,4360.10,PUR-00245
SI004/2245,2024-04-19,V-004,Deccan Logistics,24ZZ1004A1Z8,1774.00,319.32,2093.32,PUR-00246
SI023/2246,2024-06-03,V-023,Venus Adhesives,36ZZ1023A1Z1,135859.00,24454.62,160313.62,PUR-00247
SI039/2247,2025-01-30,V-039,Liberty Rubber Works,07ZZ1039A1Z3,168214.00,30278.52,198492.52,PUR-00248
SI019/2248,2025-02-27,V-019,Royal Stationers,29ZZ1019A1Z3,62555.00,11259.90,73814.90,PUR-00249
SI022/2249,2024-06-29,V-022,Universal Bearings,24ZZ1022A1Z4,165408.00,29773.44,195181.44,PUR-00250
SI042/2250,2025-02-28,V-042,Orient Glass House,27ZZ1042A1Z4,203088.00,36555.84,239643.84,PUR-00251
SI012/2251,2024-09-30,V-012,Lakshmi Industrial Stores,27ZZ1012A1Z4,107357.00,19324.26,126681.26,PUR-00252
SI037/2252,2025-01-23,V-037,Jyoti Electrodes,29ZZ1037A1Z9,139123.00,25042.14,164165.14,PUR-00253
SI020/2253,2024-10-20,V-020,Sunrise Solvents,33ZZ1020A1Z0,211262.00,38027.16,249289.16,PUR-00254
SI009/2254,2024-06-26,V-009,Indus Metal Works,07ZZ1009A1Z3,76657.00,13798.26,90455.26,PUR-00255
SI037/2255,2024-07-25,V-037,Jyoti Electrodes,29ZZ1037A1Z9,176761.00,31816.98,208577.98,PUR-00256
SI016/2256,2024-08-31,V-016,Omkar Engineering,24ZZ1016A1Z2,60427.00,10876.86,71303.86,PUR-00257
SI008/2257,2024-08-24,V-008,Himalaya Papers,33ZZ1008A1Z6,3587.00,645.66,4232.66,PUR-00258
SI003/2258,2025-02-07,V-003,Chennai Polymers Pvt Ltd,07ZZ1003A1Z1,220281.00,39650.58,259931.58,PUR-00259
SI024/2259,2025-01-20,V-024,Western Freight Lines,27ZZ1024A1Z8,198073.00,35653.14,233726.14,PUR-00260
SI007/2260,2024-06-24,V-007,Ganga Traders,29ZZ1007A1Z9,225375.00,40567.50,265942.50,PUR-00261
SI007/2261,2024-04-01,V-007,Ganga Traders,29ZZ1007A1Z9,82299.00,14813.82,97112.82,PUR-00262
SI033/2262,2024-08-18,V-033,Falcon Security Services,07ZZ1033A1Z1,209582.00,37724.76,247306.76,PUR-00263
SI034/2263,2024-12-09,V-034,Green Valley Agro,24ZZ1034A1Z8,83802.00,15084.36,98886.36,PUR-00264
SI009/2264,2024-04-15,V-009,Indus Metal Works,07ZZ1009A1Z3,80502.00,14490.36,94992.36,PUR-00265
SI025/2265,2024-11-18,V-025,Xpress Couriers,29ZZ1025A1Z5,239361.00,43084.98,282445.98,PUR-00266
SI025/2266,2024-12-16,V-025,Xpress Couriers,29ZZ1025A1Z5,29478.00,5306.04,34784.04,PUR-00267
SI016/2267,2025-02-06,V-016,Omkar Engineering,24ZZ1016A1Z2,104884.00,18879.12,123763.12,PUR-00268
SI028/2268,2024-05-04,V-028,Anand Auto Parts,24ZZ1028A1Z6,202755.00,36495.90,239250.90,PUR-00269
SI014/2269,2024-10-05,V-014,Shree Ram Traders,33ZZ1014A1Z8,205749.00,37034.82,242783.82,PUR-00270
SI003/2270,2024-11-14,V-003,Chennai Polymers Pvt Ltd,07ZZ1003A1Z1,17044.00,3067.92,20111.92,PUR-00271
SI012/2271,2024-07-13,V-012,Lakshmi Industrial Stores,27ZZ1012A1Z4,212938.00,38328.84,251266.84,PUR-00272
SI016/2272,2024-10-31,V-016,Omkar Engineering,24ZZ1016A1Z2,207097.00,37277.46,244374.46,PUR-00273
SI038/2273,2024-05-31,V-038,Krishna Cement Agency,33ZZ1038A1Z6,136061.00,24490.98,160551.98,PUR-00274
SI025/2274,2025-03-28,V-025,Xpress Couriers,29ZZ1025A1Z5,13122.00,2361.96,15483.96,PUR-00275
SI018/2275,2024-10-31,V-018,Quality Fasteners,27ZZ1018A1Z6,49089.00,8836.02,57925.02,PUR-00276
SI017/2276,2024-10-13,V-017,Pioneer Plastics,36ZZ1017A1Z9,162213.00,29198.34,191411.34,PUR-00277
SI015/2277,2024-05-16,V-015,Noble Printing Press,07ZZ1015A1Z5,142953.00,25731.54,168684.54,PUR-00278
SI007/2278,2025-03-15,V-007,Ganga Traders,29ZZ1007A1Z9,212774.00,38299.32,251073.32,PUR-00279
SI015/2279,2024-08-23,V-015,Noble Printing Press,07ZZ1015A1Z5,89764.00,16157.52,105921.52,PUR-00280
SI036/2280,2024-05-14,V-036,Imperial Paints,27ZZ1036A1Z2,202113.00,36380.34,238493.34,PUR-00281
SI026/2281,2024-06-11,V-026,Yamuna Enterprises,33ZZ1026A1Z2,93572.00,16842.96,110414.96,PUR-00282
SI004/2282,2025-02-03,V-004,Deccan Logistics,24ZZ1004A1Z8,7362.00,1325.16,8687.16,PUR-00283
SI020/2283,2025-02-06,V-020,Sunrise Solvents,33ZZ1020A1Z0,203814.00,36686.52,240500.52,PUR-00284
SI021/2284,2024-12-27,V-021,Trident Tools Ltd,07ZZ1021A1Z7,220447.00,39680.46,260127.46,PUR-00285
SI008/2285,2024-12-28,V-008,Himalaya Papers,33ZZ1008A1Z6,138642.00,24955.56,163597.56,PUR-00286
SI008/2286,2025-01-24,V-008,Himalaya Papers,33ZZ1008A1Z6,13086.00,2355.48,15441.48,PUR-00287
SI041/2287,2025-01-29,V-041,National Weighbridge,36ZZ1041A1Z7,167402.00,30132.36,197534.36,PUR-00288
SI013/2288,2024-10-29,V-013,Madras Hardware Mart,29ZZ1013A1Z1,29381.00,5288.58,34669.58,PUR-00289
SI042/2289,2024-09-23,V-042,Orient Glass House,27ZZ1042A1Z4,85458.00,15382.44,100840.44,PUR-00290
SI033/2290,2024-07-07,V-033,Falcon Security Services,07ZZ1033A1Z1,58171.00,10470.78,68641.78,PUR-00291
SI035/2291,2024-04-06,V-035,Hitech Instruments,36ZZ1035A1Z5,147349.00,26522.82,173871.82,PUR-00292
SI007/2292,2024-04-04,V-007,Ganga Traders,29ZZ1007A1Z9,3630.00,653.40,4283.40,PUR-00293
SI024/2293,2025-01-28,V-024,Western Freight Lines,27ZZ1024A1Z8,165584.00,29805.12,195389.12,PUR-00294
SI016/2294,2024-12-03,V-016,Omkar Engineering,24ZZ1016A1Z2,72332.00,13019.76,85351.76,PUR-00295
SI023/2295,2025-03-11,V-023,Venus Adhesives,36ZZ1023A1Z1,122467.00,22044.06,144511.06,PUR-00296
SI008/2296,2025-01-20,V-008,Himalaya Papers,33ZZ1008A1Z6,118589.00,21346.02,139935.02,PUR-00297
SI015/2297,2024-09-10,V-015,Noble Printing Press,07ZZ1015A1Z5,83661.00,15058.98,98719.98,PUR-00298
SI012/2298,2024-09-21,V-012,Lakshmi Industrial Stores,27ZZ1012A1Z4,143184.00,25773.12,168957.12,PUR-00299
SI012/2299,2024-09-21,V-012,Lakshmi Industrial Stores,27ZZ1012A1Z4,205314.00,36956.52,242270.52,PUR-00300
SRT/0091,2025-02-14,V-044,Shri Ram Traders,33ZZ1044A1Z8,460000.00,82800.00,542800.00,PUR-01145
TT/2287,2024-10-07,V-021,Trident Tools Ltd,07ZZ1021A1Z7,187450.00,33741.00,221191.00,PUR-01147
TT/2287A,2024-10-21,V-021,Trident Tools Ltd,07ZZ1021A1Z7,187450.00,33741.00,221191.00,PUR-01148
FC/5512,2025-01-02,V-006,Fortune Chemicals,27ZZ1006A1Z2,340000.00,61200.00,401200.00,PUR-A8
