date,voucher_id,reference,debit,credit,narration
2025-01-09,PMT-01149,NEFT5465,,401200.00,Payment Fortune Chemicals
2025-01-10,RCT-01037,UTR5356,4548.90,,Receipt Customer 018 Retail
2025-01-10,RCT-01078,UTR5397,261064.38,,Receipt Customer 030 Retail
2025-01-11,PMT-00761,NEFT5080,,33560.38,Payment Sunrise Solvents
2025-01-13,RCT-00944,UTR5263,32576.26,,Receipt Customer 026 Retail
2025-01-14,RCT-00915,UTR5234,210280.72,,Receipt Customer 002 Retail
2025-01-15,RCT-01151,COLL20251,100000.00,,Receipt C-004
2025-01-15,RCT-01152,COLL20252,100000.00,,Receipt C-011
2025-01-15,RCT-01153,COLL20253,100000.00,,Receipt C-019
2025-01-16,PMT-00728,NEFT5047,,245919.08,Payment Anand Auto Parts
2025-01-17,PMT-00727,NEFT5046,,212889.70,Payment Agarwal Steel Suppliers
2025-01-17,RCT-01013,UTR5332,247182.86,,Receipt Customer 024 Retail
2025-01-18,PMT-00868,NEFT5187,,163597.56,Payment Himalaya Papers
2025-01-18,RCT-01009,UTR5328,191384.20,,Receipt Customer 030 Retail
2025-01-19,PMT-00768,NEFT5087,,185058.22,Payment Ganga Traders
2025-01-19,PMT-00803,NEFT5122,,30820.42,Payment Universal Bearings
2025-01-19,RCT-00884,UTR5203,377256.62,,Receipt Customer 006 Retail
2025-01-20,PMT-00759,NEFT5078,,164849.54,Payment Zenith Abrasives
2025-01-20,RCT-01004,UTR5323,125336.06,,Receipt Customer 010 Retail
2025-01-21,RCT-00951,UTR5270,87239.76,,Receipt Customer 003 Retail
2025-01-22,PMT-00762,NEFT5081,,12677.92,Payment Krishna Cement Agency
2025-01-22,PMT-00867,NEFT5186,,260127.46,Payment Trident Tools Ltd
2025-01-22,RCT-00880,UTR5199,161973.88,,Receipt Customer 027 Retail
2025-01-23,PMT-00856,NEFT5175,,34784.04,Payment Xpress Couriers
2025-01-23,RCT-01077,UTR5396,443242.22,,Receipt Customer 025 Retail
2025-01-23,RCT-01087,UTR5406,45408.76,,Receipt Customer 003 Retail
2025-01-24,PMT-00707,NEFT5026,,87544.20,Payment Everest Scaffolding
2025-01-24,RCT-01113,UTR5432,348056.34,,Receipt Customer 030 Retail
2025-01-25,PMT-00698,NEFT5017,,143263.80,Payment Anand Auto Parts
2025-01-25,RCT-01086,UTR5405,448460.18,,Receipt Customer 022 Retail
2025-01-26,PMT-00825,NEFT5144,,188838.94,Payment Deccan Logistics
2025-01-26,RCT-00924,UTR5243,300796.16,,Receipt Customer 011 Retail
2025-01-26,RCT-01052,UTR5371,249487.40,,Receipt Customer 009 Retail
2025-01-27,RCT-01001,UTR5320,420261.72,,Receipt Customer 023 Retail
2025-01-28,PMT-00722,NEFT5041,,97824.36,Payment Madras Hardware Mart
2025-01-28,RCT-01007,UTR5326,8368.56,,Receipt Customer 013 Retail
2025-01-29,PMT-00792,NEFT5111,,256487.16,Payment Indus Metal Works
2025-01-30,RCT-00892,UTR5211,104306.10,,Receipt Customer 005 Retail
2025-01-31,PMT-00747,NEFT5066,,182104.68,Payment Divya Safety Equipments
2025-02-01,RCT-00966,UTR5285,325026.28,,Receipt Customer 002 Retail
2025-02-02,RCT-00935,UTR5254,352456.56,,Receipt Customer 014 Retail
2025-02-02,RCT-01031,UTR5350,104597.56,,Receipt Customer 029 Retail
2025-02-02,RCT-01084,UTR5403,305284.88,,Receipt Customer 018 Retail
2025-02-02,RCT-01139,UTR5458,18880.00,,Receipt Customer 030 Retail
2025-02-03,RCT-00992,UTR5311,300700.58,,Receipt Customer 014 Retail
2025-02-04,RCT-01125,UTR5444,236059.00,,Receipt Customer 022 Retail
2025-02-06,PMT-00721,NEFT5040,,63316.44,Payment Orient Glass House
2025-02-06,RCT-00908,UTR5227,39777.80,,Receipt Customer 016 Retail
2025-02-09,RCT-01121,UTR5440,421749.70,,Receipt Customer 022 Retail
2025-02-10,RCT-01118,UTR5437,147872.88,,Receipt Customer 009 Retail
2025-02-11,RCT-00983,UTR5302,395770.82,,Receipt Customer 023 Retail
2025-02-11,RCT-01094,UTR5413,195062.26,,Receipt Customer 004 Retail
2025-02-12,RCT-01108,UTR5427,169116.42,,Receipt Customer 020 Retail
2025-02-13,PMT-00866,NEFT5185,,240500.52,Payment Sunrise Solvents
2025-02-14,PMT-00875,NEFT5194,,139935.02,Payment Himalaya Papers
2025-02-14,RCT-00998,UTR5317,411648.90,,Receipt Customer 002 Retail
2025-02-15,PMT-00823,NEFT5142,,85715.20,Payment Orient Glass House
2025-02-15,PMT-00845,NEFT5164,,164165.14,Payment Jyoti Electrodes
2025-02-16,RCT-00938,UTR5257,149118.96,,Receipt Customer 006 Retail
2025-02-17,PMT-00776,NEFT5095,,237471.46,Payment Crescent Ceramics
2025-02-17,PMT-01146,NEFT5464,,542800.00,Payment Shri Ram Traders
2025-02-17,RCT-00926,UTR5245,23340.40,,Receipt Customer 021 Retail
2025-02-17,RCT-01134,UTR5453,191060.88,,Receipt Customer 022 Retail
2025-02-19,PMT-00873,NEFT5192,,195389.12,Payment Western Freight Lines
2025-02-19,RCT-01036,UTR5355,160534.28,,Receipt Customer 013 Retail
2025-02-19,RCT-01042,UTR5361,367295.06,,Receipt Customer 005 Retail
2025-02-20,RCT-01070,UTR5389,393231.46,,Receipt Customer 024 Retail
2025-02-21,PMT-00733,NEFT5052,,68987.52,Payment Quality Fasteners
2025-02-21,RCT-00939,UTR5258,408086.48,,Receipt Customer 017 Retail
2025-02-22,PMT-00699,NEFT5018,,173541.42,Payment Royal Stationers
2025-02-22,RCT-00961,UTR5280,157315.24,,Receipt Customer 025 Retail
2025-02-22,RCT-00981,UTR5300,140593.46,,Receipt Customer 016 Retail
2025-02-23,PMT-00704,NEFT5023,,157361.26,Payment Universal Bearings
2025-02-23,RCT-00963,UTR5282,374390.40,,Receipt Customer 025 Retail
2025-02-24,RCT-01130,UTR5449,74833.24,,Receipt Customer 028 Retail
2025-02-25,PMT-00869,NEFT5188,,15441.48,Payment Himalaya Papers
2025-02-25,RCT-01015,UTR5334,164128.56,,Receipt Customer 002 Retail
2025-02-26,PMT-00684,NEFT5003,,114399.82,Payment Shree Ram Traders
2025-02-27,PMT-00730,NEFT5049,,45346.22,Payment Ganga Traders
2025-02-27,RCT-01072,UTR5391,361462.32,,Receipt Customer 006 Retail
2025-02-28,RCT-00902,UTR5221,76777.88,,Receipt Customer 018 Retail
2025-02-28,RCT-01008,UTR5327,342967.00,,Receipt Customer 026 Retail
2025-03-01,PMT-00752,NEFT5071,,70661.94,Payment Yamuna Enterprises
2025-03-01,RCT-01141,UTR5460,28653.94,,Receipt Customer 023 Retail
2025-03-03,RCT-00921,UTR5240,364068.94,,Receipt Customer 006 Retail
2025-03-03,RCT-01088,UTR5407,179245.54,,Receipt Customer 013 Retail
2025-03-06,PMT-00756,NEFT5075,,139252.98,Payment Omkar Engineering
2025-03-06,RCT-00916,UTR5235,197355.00,,Receipt Customer 013 Retail
2025-03-06,RCT-00993,UTR5312,278681.78,,Receipt Customer 013 Retail
2025-03-07,RCT-01005,UTR5324,384970.28,,Receipt Customer 025 Retail
2025-03-08,PMT-00843,NEFT5162,,239643.84,Payment Orient Glass House
2025-03-09,RCT-00950,UTR5269,78211.58,,Receipt Customer 028 Retail
2025-03-10,RCT-00946,UTR5265,115383.94,,Receipt Customer 015 Retail
2025-03-10,RCT-00960,UTR5279,434465.38,,Receipt Customer 006 Retail
2025-03-10,RCT-00976,UTR5295,104271.88,,Receipt Customer 018 Retail
2025-03-12,PMT-00783,NEFT5102,,244327.26,Payment Kaveri Transport Co
2025-03-12,RCT-01033,UTR5352,310148.84,,Receipt Customer 026 Retail
2025-03-13,PMT-00865,NEFT5184,,8687.16,Payment Deccan Logistics
2025-03-14,PMT-00779,NEFT5098,,118794.14,Payment Zenith Abrasives
2025-03-16,PMT-00703,NEFT5022,,217154.22,Payment Silverline Pipes
2025-03-16,RCT-01062,UTR5381,290652.88,,Receipt Customer 004 Retail
2025-03-17,PMT-00782,NEFT5101,,265620.36,Payment Himalaya Papers
2025-03-17,PMT-00810,NEFT5129,,135086.40,Payment Trident Tools Ltd
2025-03-17,RCT-00978,UTR5297,263571.88,,Receipt Customer 025 Retail
2025-03-19,RCT-00923,UTR5242,146268.08,,Receipt Customer 029 Retail
2025-03-20,PMT-01150,CHQ004512,,118000.00,Payment Deccan Logistics
2025-03-20,PMT-00742,NEFT5061,,266677.64,Payment Mount Cables
2025-03-22,RCT-00933,UTR5252,3562.42,,Receipt Customer 013 Retail
2025-03-25,RCT-00925,UTR5244,259033.60,,Receipt Customer 009 Retail
2025-03-25,RCT-00936,UTR5255,341403.50,,Receipt Customer 022 Retail
2025-03-26,RCT-01116,UTR5435,44943.84,,Receipt Customer 007 Retail
2025-03-27,PMT-00775,NEFT5094,,198092.50,Payment Orient Glass House
2025-03-27,RCT-01059,UTR5378,98790.78,,Receipt Customer 008 Retail
2025-03-28,RCT-00955,UTR5274,53251.04,,Receipt Customer 005 Retail
2025-03-28,RCT-01126,UTR5445,23694.40,,Receipt Customer 023 Retail
2025-03-29,RCT-01074,UTR5393,148098.26,,Receipt Customer 025 Retail
2025-03-29,RCT-01105,UTR5424,12687.36,,Receipt Customer 023 Retail
2025-03-30,RCT-00969,UTR5288,328126.14,,Receipt Customer 006 Retail
2025-03-31,PMT-00754,NEFT5073,,127273.62,Payment Himalaya Papers
2025-03-31,RCT-01128,UTR5447,257420.54,,Receipt Customer 028 Retail
